panel,a,b,label,unordered_pair,single_a,single_b,double,expected_no_interaction,n_measurements,double_observed,red_released,red_reverse,red_exchange_error,red_point_distance,raw_mask,single_only
KEGG,MNS1,CWH41,1,CWH41|MNS1,0.21447414270937248,0.6157176119848133,,0.8259749032624731,0,False,0.5472441895159452,0.44934601403722807,0.0034097964468267072,0.5720926055528415,0.0,-0.40124346927544086
KEGG,ROT2,CWH41,1,CWH41|ROT2,0.6904081231682184,0.6157176119848133,0.7576760420393449,1.2900451033008986,1,True,0.5024560101339935,0.4975331968854011,1.0792980605356384e-05,0.48729143191793356,-0.07469051118340508,0.07469051118340508
KEGG,MNS1,MNN2,1,MNN2|MNS1,0.21447414270937248,0.6621729741210333,,0.8720336742200989,0,False,0.5393157912004641,0.4581251423941909,0.0025590664053449785,0.579779061406271,0.0,-0.4476988314116608
KEGG,ANP1,MNN2,1,ANP1|MNN2,0.0,0.6621729741210333,,0.0,1,False,0.41158947662445977,0.4262003210927801,0.16221020228276006,0.40592208696904586,0.0,-0.6621729741210333
KEGG,MNS1,ROT2,1,MNS1|ROT2,0.21447414270937248,0.6904081231682184,1.3223140420393449,0.9000215195864774,1,True,0.5437109707922769,0.45309235155408495,0.003196677653638069,0.5843419177509673,0.47593398045884605,-0.47593398045884594
KEGG,STP22,VPS28,1,STP22|VPS28,0.3623650083769404,0.7089474274544649,,1.0623714820159567,0,False,0.5481117075535158,0.4473818645011405,0.004506427945343727,0.5574226555826803,0.0,-0.3465824190775245
KEGG,HMG1,BTS1,1,BTS1|HMG1,0.29624945669281905,0.7699315089777822,1.9648210698047572,1.0582465501129743,1,True,0.568445052821083,0.4230867020205812,0.008468245158335774,0.579301003966877,0.4736820522849632,-0.47368205228496313
KEGG,DIE2,ALG5,1,ALG5|DIE2,1.323400595972287,1.7317384406664271,1.856713,2.8920776460136843,2,True,0.5481732906841732,0.44522424622425194,0.006602463091574862,0.5592505728712596,0.40833784469414014,-0.40833784469414014
KEGG,ALG8,ALG5,1,ALG5|ALG8,2.0742643396022356,1.7317384406664271,1.9342515000000002,3.4774630697436786,2,True,0.46668464520686886,0.5302629570766982,0.003052397716432953,0.4503409832039853,-0.06250021973133779,0.3425258989358084
KEGG,ALG6,ALG5,1,ALG5|ALG6,2.5299364083909355,1.7317384406664271,2.1374579999999996,3.796683622929165,2,True,0.3965886231981206,0.4787289700599838,0.12468240674189557,0.378098198228485,-0.01324115094263667,0.7981979677245084
KEGG,DIE2,ALG8,1,ALG8|DIE2,1.323400595972287,2.0742643396022356,2.0684430000000003,3.1766658503652954,2,True,0.5200093914439561,0.4097161804733736,0.07027442808267037,0.5489071592632379,0.739221064425478,-0.7508637436299486
